id,Subject,Course,Component,Section,Days,StartTime,EndTime,StartDate,EndDate,Duration,InstructionMode,Building,Room,Instructor,EnrollCap,WaitCap,CombDesc,CombEnrollCap,CourseName,StartTimeInternal,,
76,CSE,371,LEC,1,TUTH,1:00 PM,2:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Anita Wasilewska,60,0,CSE/MAT371.01,60,Logic,13,,
77,CSE,373,LEC,1,TUTH,2:30 PM,3:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Rezaul Chowdhury,120,0,CSE373.01/MAT373.01,200,Analysis of Algorithms,14.5,,
78,CSE,376,LEC,1,MW,8:30 AM,9:50 AM,25-Jan-21,19-May-21,80,In Person,TBA,120,Erez Zadok,80,0, , ,Advanced Systems Programming in UNIX/C,8.5,,
79,CSE,380,LEC,1,TUTH,2:30 PM,3:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Richard McKenna,100,30, , ,2D Game Programming,14.5,,
80,CSE,385,LEC,1,TUTH,11:30 AM,12:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Michael Bender,60,0, , ,Analysis of Algorithms: Honors,11.5,,
81,CSE,385,REC,R01,RETH,2:00 PM,2:53 PM,25-Jan-21,19-May-21,53,In Person,TBA,TBA,Michael Bender,60,0, , ,Analysis of Algorithms: Honors,14,,
82,CSE,416,LEC,1,TUTH,7:00 PM,8:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Robert Kelly,70,10, , ,Software Engineering,19,,
83,CSE,416,LEC,2,TUTH,11:30 AM,12:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Scott Stoller,70,10, , ,Software Engineering,11.5,,
84,CSE,506,LEC,1,TUTH,8:30 AM,9:50 AM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Dongyoon Lee,150,0, , ,Operating Systems,8.5,,
85,CSE,512,LEC,1,TUTH,10:00 AM,11:20 AM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Minh Hoai Nguyen,150,0, , ,Machine Learning,10,,
